Pavarde Vardas ND1 ND2 ND3 ND4 ND5 Egzaminas
Pavarde118 Vardas118 7 10 6 5 4 3
Pavarde119 Vardas119 7 10 9 10 10 3
Pavarde120 Vardas120 8 2 3 8 10 5
Pavarde121 Vardas121 6 10 5 8 8 3
Pavarde122 Vardas122 4 9 6 10 9 1
Pavarde123 Vardas123 1 4 7 4 3 8
Pavarde124 Vardas124 7 10 8 6 10 9
Pavarde125 Vardas125 6 10 8 6 10 5
Pavarde126 Vardas126 8 3 4 3 7 1
Pavarde127 Vardas127 9 4 7 1 8 1
Pavarde128 Vardas128 8 6 8 10 8 8
Pavarde129 Vardas129 9 1 3 7 9 3
Pavarde130 Vardas130 5 7 9 3 6 5
Pavarde131 Vardas131 8 1 2 9 2 7
Pavarde132 Vardas132 6 3 6 2 8 9
Pavarde133 Vardas133 7 10 6 3 10 1
Pavarde134 Vardas134 10 10 2 3 3 8
Pavarde135 Vardas135 6 5 2 9 4 6
Pavarde136 Vardas136 9 5 3 9 5 1
Pavarde137 Vardas137 5 2 8 10 9 9
Pavarde138 Vardas138 10 4 3 6 1 7
Pavarde139 Vardas139 3 1 2 1 6 1
Pavarde140 Vardas140 1 4 7 1 9 10
Pavarde141 Vardas141 1 1 10 5 4 1
Pavarde142 Vardas142 5 3 9 7 8 5
Pavarde143 Vardas143 10 7 9 3 6 7
Pavarde144 Vardas144 9 2 3 8 6 6
Pavarde145 Vardas145 1 8 5 9 6 2
Pavarde146 Vardas146 1 5 3 5 3 8
Pavarde147 Vardas147 5 10 8 2 3 7
Pavarde148 Vardas148 10 10 1 10 7 2
Pavarde149 Vardas149 1 1 2 3 6 8
Pavarde150 Vardas150 5 7 4 4 5 3
Pavarde151 Vardas151 3 9 8 3 6 9
Pavarde152 Vardas152 9 2 9 9 10 6
Pavarde153 Vardas153 6 2 5 2 6 10
Pavarde154 Vardas154 3 3 6 9 6 10
Pavarde155 Vardas155 4 2 6 4 7 8
Pavarde156 Vardas156 6 5 9 8 2 1
Pavarde157 Vardas157 7 2 4 9 2 8
Pavarde158 Vardas158 4 8 2 5 2 1
Pavarde159 Vardas159 9 6 1 6 9 2
Pavarde160 Vardas160 3 7 6 9 9 2
Pavarde161 Vardas161 2 10 3 2 5 9
Pavarde162 Vardas162 6 9 10 10 10 10
Pavarde163 Vardas163 5 7 5 10 4 2
Pavarde164 Vardas164 6 10 4 3 6 10
Pavarde165 Vardas165 2 4 10 6 9 2
Pavarde166 Vardas166 3 8 7 1 1 7
Pavarde167 Vardas167 7 4 10 10 9 9
Pavarde168 Vardas168 1 10 1 1 4 5
Pavarde169 Vardas169 10 4 7 7 3 9
Pavarde170 Vardas170 10 8 6 2 10 4
Pavarde171 Vardas171 4 6 7 1 8 5
Pavarde172 Vardas172 7 10 10 8 7 8
Pavarde173 Vardas173 3 10 1 5 2 6
Pavarde174 Vardas174 2 1 2 6 8 3
Pavarde175 Vardas175 9 3 1 7 2 2
Pavarde176 Vardas176 10 8 2 10 6 2
Pavarde177 Vardas177 2 7 7 2 5 6
Pavarde178 Vardas178 9 3 5 4 4 8
Pavarde179 Vardas179 8 9 4 9 1 7
Pavarde180 Vardas180 5 4 6 4 4 9
Pavarde181 Vardas181 5 5 7 7 1 4
Pavarde182 Vardas182 10 9 5 9 4 9
Pavarde183 Vardas183 7 8 8 5 4 9
Pavarde184 Vardas184 2 5 2 5 1 6
Pavarde185 Vardas185 10 7 2 9 4 2
Pavarde186 Vardas186 7 8 7 7 3 2
Pavarde187 Vardas187 7 10 6 7 10 5
Pavarde188 Vardas188 1 8 5 10 2 10
Pavarde189 Vardas189 4 8 5 5 1 4
Pavarde190 Vardas190 10 1 8 10 3 4
Pavarde191 Vardas191 5 9 9 10 7 7
Pavarde192 Vardas192 2 5 1 7 5 5
Pavarde193 Vardas193 2 1 5 2 8 2
Pavarde194 Vardas194 9 3 7 10 2 9
Pavarde195 Vardas195 10 5 5 2 3 6
Pavarde196 Vardas196 10 8 2 8 2 1
Pavarde197 Vardas197 5 2 10 3 1 7
Pavarde198 Vardas198 7 10 9 10 1 5
Pavarde199 Vardas199 4 8 8 1 10 1
Pavarde200 Vardas200 3 6 5 9 2 7
Pavarde201 Vardas201 9 10 8 3 2 9
Pavarde202 Vardas202 2 4 10 2 8 7
Pavarde203 Vardas203 7 4 10 9 2 6
Pavarde204 Vardas204 5 8 2 4 3 10
Pavarde205 Vardas205 10 6 2 3 7 10
Pavarde206 Vardas206 5 2 10 9 8 3
Pavarde207 Vardas207 3 3 10 8 2 9
Pavarde208 Vardas208 4 5 5 5 6 2
Pavarde209 Vardas209 10 5 10 2 3 5
Pavarde210 Vardas210 1 2 4 7 4 1
Pavarde211 Vardas211 1 4 9 10 3 1
Pavarde212 Vardas212 8 10 9 3 8 1
Pavarde213 Vardas213 9 2 5 2 4 2
Pavarde214 Vardas214 2 7 8 6 7 3
Pavarde215 Vardas215 4 6 5 1 10 3
Pavarde216 Vardas216 4 9 5 6 9 10
Pavarde217 Vardas217 3 4 6 7 3 3
Pavarde218 Vardas218 1 8 3 8 9 5
Pavarde219 Vardas219 3 2 8 2 5 1
Pavarde220 Vardas220 8 8 2 5 5 4
Pavarde221 Vardas221 5 9 7 3 9 7
Pavarde222 Vardas222 2 5 3 4 1 8
Pavarde223 Vardas223 7 9 5 10 10 1
Pavarde224 Vardas224 4 3 8 4 7 7
Pavarde225 Vardas225 7 7 10 7 3 10
Pavarde226 Vardas226 7 5 2 10 3 2
Pavarde227 Vardas227 7 8 4 1 2 8
Pavarde228 Vardas228 1 8 2 2 8 5
Pavarde229 Vardas229 6 7 6 1 2 5
Pavarde230 Vardas230 9 3 4 9 10 4
Pavarde231 Vardas231 7 4 7 3 7 2
Pavarde232 Vardas232 1 9 5 7 8 4
Pavarde233 Vardas233 1 10 5 8 5 5
Pavarde234 Vardas234 6 7 2 4 4 10
Pavarde235 Vardas235 6 5 3 10 8 2
Pavarde236 Vardas236 6 8 7 7 5 7
Pavarde237 Vardas237 10 2 1 9 8 7
Pavarde238 Vardas238 1 3 6 2 10 6
Pavarde239 Vardas239 4 8 3 7 2 8
Pavarde240 Vardas240 5 1 1 2 4 1
Pavarde241 Vardas241 2 9 3 3 5 9
Pavarde242 Vardas242 2 9 9 2 4 8
Pavarde243 Vardas243 5 2 1 10 6 3
Pavarde244 Vardas244 2 5 1 10 3 3
Pavarde245 Vardas245 9 8 9 7 8 7
Pavarde246 Vardas246 7 10 8 1 1 2
Pavarde247 Vardas247 8 8 3 10 7 10
Pavarde248 Vardas248 9 10 10 1 10 5
Pavarde249 Vardas249 9 1 9 6 9 9
Pavarde250 Vardas250 6 2 3 3 10 7
Pavarde251 Vardas251 7 6 9 6 6 5
Pavarde252 Vardas252 7 8 6 9 10 7
Pavarde253 Vardas253 5 1 8 1 6 9
Pavarde254 Vardas254 3 9 6 8 8 10
Pavarde255 Vardas255 6 4 4 9 9 4
Pavarde256 Vardas256 4 1 8 10 10 8
Pavarde257 Vardas257 1 2 6 6 10 6
Pavarde258 Vardas258 6 1 6 5 8 9
Pavarde259 Vardas259 2 2 7 7 7 6
Pavarde260 Vardas260 5 4 2 5 8 9
Pavarde261 Vardas261 10 9 3 4 1 9
Pavarde262 Vardas262 5 9 7 5 1 7
Pavarde263 Vardas263 4 10 5 10 10 9
Pavarde264 Vardas264 10 6 4 10 10 6
Pavarde265 Vardas265 3 10 7 9 5 5
Pavarde266 Vardas266 1 2 4 9 9 7
Pavarde267 Vardas267 6 9 5 7 9 8
Pavarde268 Vardas268 6 5 2 9 10 2
Pavarde269 Vardas269 3 4 8 4 7 2
Pavarde270 Vardas270 3 2 10 5 5 6
Pavarde271 Vardas271 9 10 3 7 8 4
Pavarde272 Vardas272 3 9 2 1 9 1
Pavarde273 Vardas273 2 1 8 5 5 4
Pavarde274 Vardas274 5 8 4 9 8 3
Pavarde275 Vardas275 1 10 3 9 6 8
Pavarde276 Vardas276 10 2 2 3 2 10
Pavarde277 Vardas277 6 5 6 4 3 10
Pavarde278 Vardas278 7 4 3 7 9 10
Pavarde279 Vardas279 4 3 5 2 3 1
Pavarde280 Vardas280 10 3 8 10 6 2
Pavarde281 Vardas281 10 8 3 4 7 8
Pavarde282 Vardas282 5 6 4 8 10 2
Pavarde283 Vardas283 9 10 9 7 7 9
Pavarde284 Vardas284 9 3 5 5 7 1
Pavarde285 Vardas285 1 10 7 8 7 9
Pavarde286 Vardas286 1 1 10 4 8 3
Pavarde287 Vardas287 10 6 10 5 7 7
Pavarde288 Vardas288 7 2 1 3 5 4
Pavarde289 Vardas289 10 8 3 3 5 5
Pavarde290 Vardas290 7 5 5 10 8 3
Pavarde291 Vardas291 5 2 10 3 2 6
Pavarde292 Vardas292 2 1 7 8 8 1
Pavarde293 Vardas293 5 3 3 10 5 1
Pavarde294 Vardas294 5 4 8 2 2 5
Pavarde295 Vardas295 10 6 3 8 2 6
Pavarde296 Vardas296 9 10 9 2 2 9
Pavarde297 Vardas297 10 2 7 6 8 1
Pavarde298 Vardas298 2 4 9 2 10 1
Pavarde299 Vardas299 6 9 5 3 6 4
Pavarde300 Vardas300 7 8 9 9 5 8
Pavarde301 Vardas301 5 9 5 6 2 3
Pavarde302 Vardas302 1 10 2 5 6 9
Pavarde303 Vardas303 7 1 6 5 2 5
Pavarde304 Vardas304 5 8 3 5 10 10
Pavarde305 Vardas305 10 6 8 9 7 5
Pavarde306 Vardas306 1 1 4 8 2 3
Pavarde307 Vardas307 9 3 4 10 2 5
Pavarde308 Vardas308 5 10 9 5 5 1
Pavarde309 Vardas309 1 7 10 8 2 2
Pavarde310 Vardas310 4 10 1 4 10 9
Pavarde311 Vardas311 1 9 8 10 8 4
Pavarde312 Vardas312 4 7 8 6 7 9
Pavarde313 Vardas313 2 3 3 8 1 9
Pavarde314 Vardas314 7 4 7 7 4 6
Pavarde315 Vardas315 5 3 7 10 9 4
Pavarde316 Vardas316 6 3 10 9 2 8
Pavarde317 Vardas317 8 1 7 7 1 4
Pavarde318 Vardas318 7 9 1 5 1 8
Pavarde319 Vardas319 9 6 5 3 9 2
Pavarde320 Vardas320 7 8 4 5 4 6
Pavarde321 Vardas321 6 3 8 3 6 5
Pavarde322 Vardas322 1 10 2 1 7 4
Pavarde323 Vardas323 6 7 8 4 3 6
Pavarde324 Vardas324 8 2 1 1 7 2
Pavarde325 Vardas325 7 2 8 6 4 4
Pavarde326 Vardas326 2 9 3 2 2 10
Pavarde327 Vardas327 8 1 3 3 7 9
Pavarde328 Vardas328 6 5 7 10 5 10
Pavarde329 Vardas329 6 10 4 6 2 5
Pavarde330 Vardas330 7 1 10 5 8 7
Pavarde331 Vardas331 10 7 10 3 6 9
Pavarde332 Vardas332 8 7 6 8 5 3
Pavarde333 Vardas333 2 5 5 8 5 8
Pavarde334 Vardas334 6 5 2 5 9 3
Pavarde335 Vardas335 2 7 1 9 2 10
Pavarde336 Vardas336 4 7 3 3 6 1
Pavarde337 Vardas337 10 7 6 2 5 1
Pavarde338 Vardas338 1 6 7 9 9 9
Pavarde339 Vardas339 8 9 4 10 7 9
Pavarde340 Vardas340 8 10 5 2 3 5
Pavarde341 Vardas341 3 1 3 6 2 2
Pavarde342 Vardas342 10 2 7 3 7 9
Pavarde343 Vardas343 7 1 5 6 8 4
Pavarde344 Vardas344 4 5 8 8 2 8
Pavarde345 Vardas345 6 5 5 1 1 3
Pavarde346 Vardas346 6 3 7 8 2 9
Pavarde347 Vardas347 8 5 6 6 2 10
Pavarde348 Vardas348 4 2 3 2 1 4
Pavarde349 Vardas349 5 6 1 5 8 5
Pavarde350 Vardas350 1 8 8 7 10 8
Pavarde351 Vardas351 1 3 9 10 1 10
Pavarde352 Vardas352 5 8 4 10 7 8
Pavarde353 Vardas353 9 7 7 9 9 10
Pavarde354 Vardas354 1 4 7 7 10 3
Pavarde355 Vardas355 1 8 8 10 7 6
Pavarde356 Vardas356 6 4 6 1 8 4
Pavarde357 Vardas357 2 5 3 10 9 7
Pavarde358 Vardas358 6 7 8 5 10 5
Pavarde359 Vardas359 1 6 4 10 5 6
Pavarde360 Vardas360 9 2 6 7 6 6
Pavarde361 Vardas361 9 10 4 6 10 2
Pavarde362 Vardas362 10 3 5 2 3 10
Pavarde363 Vardas363 8 10 9 6 1 7
Pavarde364 Vardas364 8 4 3 2 6 5
Pavarde365 Vardas365 9 4 9 6 7 6
Pavarde366 Vardas366 4 5 7 9 5 10
Pavarde367 Vardas367 4 6 5 4 8 1
Pavarde368 Vardas368 6 9 3 8 6 7
Pavarde369 Vardas369 2 2 1 4 2 10
Pavarde370 Vardas370 9 2 7 3 10 9
Pavarde371 Vardas371 9 6 9 8 10 9
Pavarde372 Vardas372 4 8 7 9 4 1
Pavarde373 Vardas373 6 8 8 6 10 10
Pavarde374 Vardas374 10 10 2 9 3 5
Pavarde375 Vardas375 7 1 2 10 4 9
Pavarde376 Vardas376 7 1 4 3 1 3
Pavarde377 Vardas377 7 1 8 2 4 3
Pavarde378 Vardas378 2 1 10 2 9 9
Pavarde379 Vardas379 1 3 4 6 7 10
Pavarde380 Vardas380 6 5 1 8 9 7
Pavarde381 Vardas381 10 10 5 1 9 5
Pavarde382 Vardas382 4 3 3 8 8 3
Pavarde383 Vardas383 9 4 8 7 3 2
Pavarde384 Vardas384 1 4 9 1 2 9
Pavarde385 Vardas385 2 9 3 2 2 9
Pavarde386 Vardas386 7 8 2 9 8 9
Pavarde387 Vardas387 6 6 2 5 2 2
Pavarde388 Vardas388 7 8 6 1 1 2
Pavarde389 Vardas389 10 3 7 7 2 6
Pavarde390 Vardas390 10 1 1 9 5 7
Pavarde391 Vardas391 3 4 2 5 4 7
Pavarde392 Vardas392 3 2 1 2 3 6
Pavarde393 Vardas393 6 8 8 7 4 6
Pavarde394 Vardas394 8 7 3 10 3 9
Pavarde395 Vardas395 1 9 10 4 6 1
Pavarde396 Vardas396 4 6 9 8 6 4
Pavarde397 Vardas397 1 7 5 8 7 3
Pavarde398 Vardas398 2 4 9 8 7 2
Pavarde399 Vardas399 7 5 8 3 3 10
Pavarde400 Vardas400 7 8 10 1 2 9
Pavarde401 Vardas401 10 5 4 3 2 1
Pavarde402 Vardas402 3 8 5 6 2 5
Pavarde403 Vardas403 8 7 10 8 1 9
Pavarde404 Vardas404 5 3 4 3 3 3
Pavarde405 Vardas405 5 3 1 10 8 6
Pavarde406 Vardas406 2 7 9 7 7 1
Pavarde407 Vardas407 6 5 4 5 3 7
Pavarde408 Vardas408 1 1 6 10 5 7
Pavarde409 Vardas409 6 6 4 7 1 9
Pavarde410 Vardas410 6 1 10 5 5 7
Pavarde411 Vardas411 8 1 3 1 6 1
Pavarde412 Vardas412 3 2 8 2 9 4
Pavarde413 Vardas413 7 6 8 3 2 8
Pavarde414 Vardas414 3 5 9 7 2 6
Pavarde415 Vardas415 4 9 6 3 4 1
Pavarde416 Vardas416 6 2 8 9 4 5
Pavarde417 Vardas417 8 2 9 5 8 3
Pavarde418 Vardas418 1 2 6 3 6 8
Pavarde419 Vardas419 10 3 6 5 9 6
Pavarde420 Vardas420 4 7 8 4 7 1
Pavarde421 Vardas421 1 10 4 9 8 10
Pavarde422 Vardas422 7 4 6 10 2 8
Pavarde423 Vardas423 7 5 10 1 8 4
Pavarde424 Vardas424 1 7 8 8 5 6
Pavarde425 Vardas425 4 2 2 9 9 9
Pavarde426 Vardas426 4 3 10 10 8 9
Pavarde427 Vardas427 1 3 4 8 9 5
Pavarde428 Vardas428 9 7 8 10 6 1
Pavarde429 Vardas429 4 4 10 1 9 7
Pavarde430 Vardas430 1 10 6 8 6 9
Pavarde431 Vardas431 6 7 3 9 10 8
Pavarde432 Vardas432 6 7 3 4 4 2
Pavarde433 Vardas433 5 3 6 5 9 7
Pavarde434 Vardas434 10 7 6 8 4 4
Pavarde435 Vardas435 3 6 7 2 9 8
Pavarde436 Vardas436 1 5 3 7 3 9
Pavarde437 Vardas437 9 2 6 10 1 5
Pavarde438 Vardas438 7 3 7 4 2 8
Pavarde439 Vardas439 3 7 6 5 7 7
Pavarde440 Vardas440 1 9 7 5 8 10
Pavarde441 Vardas441 1 6 5 4 6 1
Pavarde442 Vardas442 6 10 2 5 4 9
Pavarde443 Vardas443 2 1 2 4 5 8
Pavarde444 Vardas444 3 10 1 10 8 7
Pavarde445 Vardas445 5 5 8 10 3 10
Pavarde446 Vardas446 9 7 6 2 3 3
Pavarde447 Vardas447 8 3 7 7 2 1
Pavarde448 Vardas448 9 7 8 3 8 8
Pavarde449 Vardas449 8 5 1 10 1 3
Pavarde450 Vardas450 7 10 3 2 4 4
Pavarde451 Vardas451 4 3 9 9 1 10
Pavarde452 Vardas452 6 5 3 1 7 9
Pavarde453 Vardas453 6 4 9 7 2 2
Pavarde454 Vardas454 1 2 5 10 5 10
Pavarde455 Vardas455 9 7 8 10 10 3
Pavarde456 Vardas456 8 5 1 10 9 2
Pavarde457 Vardas457 4 5 5 10 5 8
Pavarde458 Vardas458 1 6 3 4 10 3
Pavarde459 Vardas459 1 8 6 1 9 5
Pavarde460 Vardas460 10 6 1 5 3 1
Pavarde461 Vardas461 8 4 3 6 1 10
Pavarde462 Vardas462 9 3 1 8 3 2
Pavarde463 Vardas463 5 2 3 5 2 6
Pavarde464 Vardas464 7 1 4 9 7 7
Pavarde465 Vardas465 3 2 5 9 9 5
Pavarde466 Vardas466 5 1 8 3 10 8
Pavarde467 Vardas467 1 10 1 5 5 2
Pavarde468 Vardas468 6 10 3 8 4 2
Pavarde469 Vardas469 9 7 5 1 9 6
Pavarde470 Vardas470 6 6 9 8 6 2
Pavarde471 Vardas471 6 10 2 10 10 7
Pavarde472 Vardas472 1 3 3 7 1 6
Pavarde473 Vardas473 7 6 10 8 3 1
Pavarde474 Vardas474 3 7 1 2 3 1
Pavarde475 Vardas475 7 1 9 8 2 5
Pavarde476 Vardas476 5 7 10 3 7 2
Pavarde477 Vardas477 7 1 6 9 1 4
Pavarde478 Vardas478 4 3 10 7 3 10
Pavarde479 Vardas479 1 7 1 10 7 3
Pavarde480 Vardas480 5 7 8 5 4 6
Pavarde481 Vardas481 2 7 6 5 10 7
Pavarde482 Vardas482 4 2 5 10 8 2
Pavarde483 Vardas483 7 10 9 7 3 5
Pavarde484 Vardas484 1 3 7 5 5 9
Pavarde485 Vardas485 7 2 6 4 9 2
Pavarde486 Vardas486 5 9 4 4 1 7
Pavarde487 Vardas487 9 5 9 5 2 1
Pavarde488 Vardas488 10 5 2 9 7 3
Pavarde489 Vardas489 2 5 4 6 2 5
Pavarde490 Vardas490 1 10 3 1 7 7
Pavarde491 Vardas491 2 4 6 3 7 6
Pavarde492 Vardas492 7 4 3 2 8 9
Pavarde493 Vardas493 6 7 5 1 4 8
Pavarde494 Vardas494 9 3 7 4 2 7
Pavarde495 Vardas495 6 9 4 5 6 9
Pavarde496 Vardas496 4 4 6 9 10 5
Pavarde497 Vardas497 10 2 4 2 8 2
Pavarde498 Vardas498 3 8 7 7 10 6
Pavarde499 Vardas499 4 1 7 1 9 5
Pavarde500 Vardas500 8 2 6 5 3 4
Pavarde501 Vardas501 10 2 1 10 1 6
Pavarde502 Vardas502 7 9 1 2 3 1
Pavarde503 Vardas503 8 2 5 7 2 5
Pavarde504 Vardas504 9 1 10 1 7 6
Pavarde505 Vardas505 10 1 8 3 10 4
Pavarde506 Vardas506 4 6 7 10 2 2
Pavarde507 Vardas507 2 7 7 3 2 8
Pavarde508 Vardas508 7 9 9 6 9 7
Pavarde509 Vardas509 10 4 6 9 1 10
Pavarde510 Vardas510 6 1 3 5 10 6
Pavarde511 Vardas511 4 7 5 1 3 9
Pavarde512 Vardas512 4 8 5 4 7 9
Pavarde513 Vardas513 5 6 6 3 9 3
Pavarde514 Vardas514 5 7 2 10 3 1
Pavarde515 Vardas515 2 2 4 10 3 3
Pavarde516 Vardas516 2 6 8 3 4 2
Pavarde517 Vardas517 1 9 6 7 4 1
Pavarde518 Vardas518 7 5 5 5 6 2
Pavarde519 Vardas519 9 1 7 9 2 6
Pavarde520 Vardas520 3 2 4 3 3 9
Pavarde521 Vardas521 1 8 7 1 10 1
Pavarde522 Vardas522 4 3 7 7 4 2
Pavarde523 Vardas523 1 7 5 6 8 1
Pavarde524 Vardas524 2 8 1 10 6 4
Pavarde525 Vardas525 4 3 10 1 1 9
Pavarde526 Vardas526 9 1 3 5 2 8
Pavarde527 Vardas527 10 4 4 7 10 10
Pavarde528 Vardas528 8 6 6 3 8 3
Pavarde529 Vardas529 5 7 5 10 4 7
Pavarde530 Vardas530 1 8 6 5 6 4
Pavarde531 Vardas531 6 7 3 7 7 4
Pavarde532 Vardas532 4 1 6 2 10 5
Pavarde533 Vardas533 3 10 1 7 3 10
Pavarde534 Vardas534 8 8 4 6 5 9
Pavarde535 Vardas535 4 8 1 5 1 3
Pavarde536 Vardas536 6 8 10 1 6 2
Pavarde537 Vardas537 10 7 6 4 6 8
Pavarde538 Vardas538 2 9 10 6 5 2
Pavarde539 Vardas539 8 1 7 1 9 6
Pavarde540 Vardas540 3 7 10 5 9 7
Pavarde541 Vardas541 2 6 3 9 10 5
Pavarde542 Vardas542 7 3 6 1 7 7
Pavarde543 Vardas543 5 3 6 7 2 1
Pavarde544 Vardas544 2 7 10 2 2 7
Pavarde545 Vardas545 6 8 10 7 3 3
Pavarde546 Vardas546 1 4 8 6 10 8
Pavarde547 Vardas547 7 5 1 7 3 2
Pavarde548 Vardas548 2 3 6 1 4 9
Pavarde549 Vardas549 2 3 2 3 2 10
Pavarde550 Vardas550 8 5 6 6 5 8
Pavarde551 Vardas551 7 8 3 4 9 1
Pavarde552 Vardas552 5 9 3 9 10 5
Pavarde553 Vardas553 10 8 1 8 8 1
Pavarde554 Vardas554 7 10 6 7 2 6
Pavarde555 Vardas555 9 10 2 5 6 3
Pavarde556 Vardas556 2 3 1 7 9 3
Pavarde557 Vardas557 9 4 9 9 5 9
