Pavarde Vardas ND1 ND2 ND3 ND4 ND5 Egzaminas
Pavarde70 Vardas70 9 8 2 2 8 6
Pavarde71 Vardas71 6 8 6 4 5 3
Pavarde72 Vardas72 10 5 1 1 7 7
Pavarde73 Vardas73 6 10 4 8 5 7
Pavarde74 Vardas74 9 1 10 9 7 5
Pavarde75 Vardas75 1 1 2 10 4 9
Pavarde76 Vardas76 9 9 5 7 10 4
Pavarde77 Vardas77 3 9 6 4 3 9
Pavarde78 Vardas78 3 8 10 3 5 4
Pavarde79 Vardas79 4 1 7 7 9 1
Pavarde80 Vardas80 7 2 8 8 7 4
Pavarde81 Vardas81 6 1 2 6 8 1
Pavarde82 Vardas82 8 9 8 5 3 6
Pavarde83 Vardas83 3 3 2 9 9 4
Pavarde84 Vardas84 10 6 9 10 3 2
Pavarde85 Vardas85 2 3 7 6 1 9
Pavarde86 Vardas86 5 5 10 7 2 9
Pavarde87 Vardas87 10 8 10 1 6 7
Pavarde88 Vardas88 5 2 4 2 10 9
Pavarde89 Vardas89 9 6 8 2 5 10
Pavarde90 Vardas90 3 1 1 10 7 10
Pavarde91 Vardas91 6 6 4 8 7 6
Pavarde92 Vardas92 9 2 3 5 2 10
Pavarde93 Vardas93 9 5 9 9 6 9
Pavarde94 Vardas94 10 10 1 5 10 9
Pavarde95 Vardas95 10 5 2 7 5 2
Pavarde96 Vardas96 6 5 9 6 1 7
Pavarde97 Vardas97 9 4 4 4 8 10
Pavarde98 Vardas98 2 7 3 6 3 2
Pavarde99 Vardas99 10 2 3 1 9 2
Pavarde100 Vardas100 5 2 2 9 9 8
Pavarde101 Vardas101 4 5 3 7 1 8
Pavarde102 Vardas102 1 5 10 2 8 5
Pavarde103 Vardas103 4 4 8 10 7 4
Pavarde104 Vardas104 4 9 4 4 6 7
Pavarde105 Vardas105 10 10 2 7 4 1
Pavarde106 Vardas106 7 1 6 6 10 2
Pavarde107 Vardas107 6 5 6 1 10 6
Pavarde108 Vardas108 6 9 2 1 4 5
Pavarde109 Vardas109 1 7 2 9 3 1
Pavarde110 Vardas110 8 5 4 4 3 2
Pavarde111 Vardas111 1 9 7 10 7 10
Pavarde112 Vardas112 6 5 2 2 3 8
Pavarde113 Vardas113 6 6 9 7 6 1
Pavarde114 Vardas114 8 2 9 8 5 2
Pavarde115 Vardas115 8 2 6 7 7 2
Pavarde116 Vardas116 7 7 1 7 3 6
Pavarde117 Vardas117 4 3 8 1 1 5
Pavarde118 Vardas118 10 4 10 7 2 2
Pavarde119 Vardas119 1 5 1 3 6 4
Pavarde120 Vardas120 10 1 4 3 4 1
Pavarde121 Vardas121 8 6 8 4 8 5
Pavarde122 Vardas122 7 3 5 9 7 6
Pavarde123 Vardas123 2 2 4 4 2 1
Pavarde124 Vardas124 10 7 10 3 9 7
Pavarde125 Vardas125 6 3 5 2 4 3
Pavarde126 Vardas126 4 9 10 1 1 8
Pavarde127 Vardas127 5 10 10 8 2 5
Pavarde128 Vardas128 1 2 9 10 2 9
Pavarde129 Vardas129 5 8 5 8 4 9
Pavarde130 Vardas130 4 7 4 4 8 1
Pavarde131 Vardas131 2 7 6 7 1 5
Pavarde132 Vardas132 5 2 10 7 6 6
Pavarde133 Vardas133 2 2 7 8 10 3
Pavarde134 Vardas134 9 1 6 10 1 1
Pavarde135 Vardas135 4 9 2 9 7 3
Pavarde136 Vardas136 5 2 9 6 5 10
Pavarde137 Vardas137 5 5 10 6 5 1
Pavarde138 Vardas138 6 7 7 7 5 3
Pavarde139 Vardas139 6 9 9 4 7 6
Pavarde140 Vardas140 7 9 2 6 10 5
Pavarde141 Vardas141 10 6 6 8 8 10
Pavarde142 Vardas142 2 9 1 9 4 10
Pavarde143 Vardas143 3 10 4 2 6 1
Pavarde144 Vardas144 2 4 1 5 3 5
Pavarde145 Vardas145 8 8 7 9 1 10
Pavarde146 Vardas146 5 1 9 8 9 4
Pavarde147 Vardas147 2 8 8 7 5 8
Pavarde148 Vardas148 3 3 7 7 5 1
Pavarde149 Vardas149 10 9 5 9 9 2
Pavarde150 Vardas150 6 5 2 4 1 7
Pavarde151 Vardas151 4 2 5 5 4 7
Pavarde152 Vardas152 5 10 1 3 6 9
Pavarde153 Vardas153 10 8 4 3 8 7
Pavarde154 Vardas154 9 3 6 3 9 8
Pavarde155 Vardas155 7 2 6 8 7 1
Pavarde156 Vardas156 7 1 4 2 10 3
Pavarde157 Vardas157 7 4 5 7 2 2
Pavarde158 Vardas158 5 5 2 10 9 7
Pavarde159 Vardas159 10 9 7 3 7 5
Pavarde160 Vardas160 9 8 1 10 6 2
Pavarde161 Vardas161 7 3 1 10 10 4
Pavarde162 Vardas162 4 2 6 2 8 1
Pavarde163 Vardas163 8 5 8 8 6 1
Pavarde164 Vardas164 5 8 9 10 3 3
Pavarde165 Vardas165 1 2 10 8 3 4
Pavarde166 Vardas166 1 7 9 4 2 1
Pavarde167 Vardas167 3 1 3 10 2 3
Pavarde168 Vardas168 8 2 10 1 3 10
Pavarde169 Vardas169 7 5 1 8 3 9
Pavarde170 Vardas170 6 1 1 1 1 7
Pavarde171 Vardas171 5 4 7 7 5 1
Pavarde172 Vardas172 4 4 10 3 4 8
Pavarde173 Vardas173 6 9 4 4 7 5
Pavarde174 Vardas174 9 7 5 1 9 1
Pavarde175 Vardas175 7 4 9 8 9 7
Pavarde176 Vardas176 3 7 10 8 4 7
Pavarde177 Vardas177 9 4 3 7 7 3
Pavarde178 Vardas178 5 10 4 4 10 9
Pavarde179 Vardas179 6 8 5 5 7 10
Pavarde180 Vardas180 4 3 1 8 9 10
Pavarde181 Vardas181 4 8 4 3 5 6
Pavarde182 Vardas182 7 5 6 3 8 1
Pavarde183 Vardas183 3 7 7 8 10 1
Pavarde184 Vardas184 9 9 2 6 9 2
Pavarde185 Vardas185 5 9 7 1 8 1
Pavarde186 Vardas186 1 9 8 2 1 4
Pavarde187 Vardas187 4 7 10 8 8 9
Pavarde188 Vardas188 8 4 1 4 5 8
Pavarde189 Vardas189 2 4 2 2 6 4
Pavarde190 Vardas190 2 1 6 2 7 4
Pavarde191 Vardas191 9 6 8 7 4 7
Pavarde192 Vardas192 9 3 3 8 7 5
Pavarde193 Vardas193 10 1 9 1 6 3
Pavarde194 Vardas194 4 1 3 1 9 8
Pavarde195 Vardas195 6 9 8 2 7 9
Pavarde196 Vardas196 4 5 3 10 2 3
Pavarde197 Vardas197 6 9 5 8 10 1
Pavarde198 Vardas198 5 6 2 10 7 3
Pavarde199 Vardas199 7 7 9 9 4 6
Pavarde200 Vardas200 5 5 3 1 10 1
Pavarde201 Vardas201 9 7 4 3 3 6
Pavarde202 Vardas202 3 1 10 10 8 3
Pavarde203 Vardas203 10 10 8 5 10 9
Pavarde204 Vardas204 4 8 1 9 8 10
Pavarde205 Vardas205 1 7 3 7 2 4
Pavarde206 Vardas206 10 9 9 10 2 8
Pavarde207 Vardas207 3 7 8 3 4 8
Pavarde208 Vardas208 7 3 3 7 5 10
Pavarde209 Vardas209 4 8 3 4 6 8
Pavarde210 Vardas210 10 7 2 10 1 5
Pavarde211 Vardas211 9 1 3 10 7 1
Pavarde212 Vardas212 10 7 6 8 1 6
Pavarde213 Vardas213 1 5 2 1 1 5
Pavarde214 Vardas214 3 3 3 5 7 8
Pavarde215 Vardas215 2 6 2 9 6 5
Pavarde216 Vardas216 3 3 9 3 2 8
Pavarde217 Vardas217 8 2 10 7 5 7
Pavarde218 Vardas218 6 7 2 2 6 8
Pavarde219 Vardas219 8 4 3 9 8 9
Pavarde220 Vardas220 6 2 4 2 5 8
Pavarde221 Vardas221 6 7 3 6 1 3
Pavarde222 Vardas222 1 6 4 9 1 10
Pavarde223 Vardas223 4 9 1 6 10 4
Pavarde224 Vardas224 1 2 3 10 3 5
Pavarde225 Vardas225 3 8 1 9 6 8
Pavarde226 Vardas226 9 9 6 6 9 1
Pavarde227 Vardas227 8 9 8 8 1 4
Pavarde228 Vardas228 2 3 5 10 5 8
Pavarde229 Vardas229 7 8 6 1 4 8
Pavarde230 Vardas230 3 5 9 7 2 3
Pavarde231 Vardas231 3 3 1 7 10 3
Pavarde232 Vardas232 8 3 9 4 5 4
Pavarde233 Vardas233 7 8 4 10 5 8
Pavarde234 Vardas234 7 4 3 4 1 8
Pavarde235 Vardas235 8 8 7 6 3 2
Pavarde236 Vardas236 6 2 2 7 5 3
Pavarde237 Vardas237 9 6 2 6 4 3
Pavarde238 Vardas238 2 2 3 7 10 8
Pavarde239 Vardas239 10 7 4 10 1 9
Pavarde240 Vardas240 1 3 5 4 4 3
Pavarde241 Vardas241 3 3 9 4 9 4
Pavarde242 Vardas242 3 6 6 8 8 3
Pavarde243 Vardas243 4 2 10 2 8 10
Pavarde244 Vardas244 10 1 3 10 4 7
Pavarde245 Vardas245 8 6 5 7 4 3
Pavarde246 Vardas246 10 1 1 7 6 7
Pavarde247 Vardas247 5 10 8 7 10 4
Pavarde248 Vardas248 3 8 6 7 2 4
Pavarde249 Vardas249 9 2 5 8 1 5
Pavarde250 Vardas250 2 7 3 10 4 1
Pavarde251 Vardas251 7 2 7 9 1 3
Pavarde252 Vardas252 3 4 10 10 1 2
Pavarde253 Vardas253 9 9 4 5 7 5
Pavarde254 Vardas254 8 5 4 9 8 5
Pavarde255 Vardas255 9 9 1 7 8 2
Pavarde256 Vardas256 8 10 7 9 6 8
Pavarde257 Vardas257 3 5 2 9 6 10
Pavarde258 Vardas258 2 8 10 4 3 8
Pavarde259 Vardas259 5 3 3 9 6 10
Pavarde260 Vardas260 7 6 5 10 6 4
Pavarde261 Vardas261 7 10 10 2 4 10
Pavarde262 Vardas262 6 2 9 2 3 8
Pavarde263 Vardas263 5 8 9 8 7 4
Pavarde264 Vardas264 5 6 8 10 4 2
Pavarde265 Vardas265 8 9 4 5 7 6
Pavarde266 Vardas266 7 5 9 3 2 4
Pavarde267 Vardas267 6 9 3 10 2 10
Pavarde268 Vardas268 7 3 3 8 9 6
Pavarde269 Vardas269 10 8 6 6 8 4
Pavarde270 Vardas270 4 10 2 5 2 1
Pavarde271 Vardas271 10 1 1 5 8 4
Pavarde272 Vardas272 7 1 4 10 8 10
Pavarde273 Vardas273 9 1 5 10 1 4
Pavarde274 Vardas274 9 7 5 2 8 9
Pavarde275 Vardas275 5 6 5 7 5 2
Pavarde276 Vardas276 3 4 4 2 9 9
Pavarde277 Vardas277 8 6 10 7 3 10
Pavarde278 Vardas278 9 10 2 3 7 3
Pavarde279 Vardas279 1 8 2 5 2 2
Pavarde280 Vardas280 4 2 8 2 2 10
Pavarde281 Vardas281 6 4 5 5 5 1
Pavarde282 Vardas282 10 5 1 4 4 8
Pavarde283 Vardas283 8 7 6 10 6 10
Pavarde284 Vardas284 8 6 5 10 8 4
Pavarde285 Vardas285 10 8 4 10 10 4
Pavarde286 Vardas286 4 1 9 8 4 7
Pavarde287 Vardas287 7 6 3 2 3 10
Pavarde288 Vardas288 3 7 10 9 3 4
Pavarde289 Vardas289 9 5 6 8 4 9
Pavarde290 Vardas290 9 2 7 1 9 5
Pavarde291 Vardas291 1 5 2 2 6 3
Pavarde292 Vardas292 2 1 10 8 3 9
Pavarde293 Vardas293 3 7 10 7 8 1
Pavarde294 Vardas294 10 1 7 9 6 4
Pavarde295 Vardas295 7 2 9 5 1 10
Pavarde296 Vardas296 5 7 4 1 5 9
Pavarde297 Vardas297 2 5 5 10 4 10
Pavarde298 Vardas298 7 9 10 6 9 10
Pavarde299 Vardas299 4 10 3 9 4 6
Pavarde300 Vardas300 9 2 10 9 3 2
Pavarde301 Vardas301 8 3 1 10 8 8
Pavarde302 Vardas302 4 8 7 9 4 10
Pavarde303 Vardas303 6 4 3 4 7 6
Pavarde304 Vardas304 2 9 9 1 9 4
Pavarde305 Vardas305 5 7 9 3 7 1
Pavarde306 Vardas306 4 4 6 9 2 3
Pavarde307 Vardas307 3 1 8 1 1 3
Pavarde308 Vardas308 4 2 6 10 7 8
Pavarde309 Vardas309 8 7 10 8 7 6
Pavarde310 Vardas310 10 3 5 2 10 10
Pavarde311 Vardas311 2 2 4 6 9 4
Pavarde312 Vardas312 7 7 6 7 1 8
Pavarde313 Vardas313 7 8 3 3 8 10
Pavarde314 Vardas314 4 4 4 10 4 4
Pavarde315 Vardas315 8 10 2 2 2 10
Pavarde316 Vardas316 10 9 9 1 6 4
Pavarde317 Vardas317 8 6 2 9 10 5
Pavarde318 Vardas318 5 3 4 2 4 9
Pavarde319 Vardas319 10 1 5 10 1 3
Pavarde320 Vardas320 7 10 10 7 4 4
Pavarde321 Vardas321 6 4 10 5 3 8
Pavarde322 Vardas322 5 10 7 5 5 8
Pavarde323 Vardas323 9 4 1 10 10 7
Pavarde324 Vardas324 7 9 10 7 4 5
Pavarde325 Vardas325 9 8 8 7 2 8
Pavarde326 Vardas326 4 8 10 6 1 4
Pavarde327 Vardas327 9 8 10 10 3 5
Pavarde328 Vardas328 6 5 1 7 5 9
Pavarde329 Vardas329 9 8 10 1 8 8
Pavarde330 Vardas330 7 3 3 8 5 8
Pavarde331 Vardas331 10 5 4 6 10 4
Pavarde332 Vardas332 9 10 6 4 2 4
Pavarde333 Vardas333 7 9 1 9 7 8
Pavarde334 Vardas334 2 5 2 7 4 9
Pavarde335 Vardas335 7 5 9 1 10 1
Pavarde336 Vardas336 5 1 4 9 10 9
Pavarde337 Vardas337 2 9 5 10 7 9
Pavarde338 Vardas338 4 4 2 9 5 6
Pavarde339 Vardas339 2 6 10 6 6 6
Pavarde340 Vardas340 7 9 1 3 5 2
Pavarde341 Vardas341 10 1 5 5 5 8
Pavarde342 Vardas342 2 4 5 6 5 4
Pavarde343 Vardas343 2 8 2 7 9 4
Pavarde344 Vardas344 10 10 6 6 6 1
Pavarde345 Vardas345 4 9 6 9 10 1
Pavarde346 Vardas346 5 5 1 10 7 1
Pavarde347 Vardas347 3 3 7 9 1 6
Pavarde348 Vardas348 7 5 6 1 10 8
Pavarde349 Vardas349 4 4 3 4 2 5
Pavarde350 Vardas350 5 5 8 9 6 1
Pavarde351 Vardas351 10 5 3 3 4 2
Pavarde352 Vardas352 10 5 2 8 5 8
Pavarde353 Vardas353 9 6 10 8 8 5
Pavarde354 Vardas354 10 8 3 3 8 5
Pavarde355 Vardas355 6 2 7 10 4 10
Pavarde356 Vardas356 6 2 10 5 6 8
Pavarde357 Vardas357 9 2 3 6 10 5
Pavarde358 Vardas358 10 3 4 10 6 7
Pavarde359 Vardas359 5 8 10 4 6 6
Pavarde360 Vardas360 5 4 8 2 7 10
Pavarde361 Vardas361 6 6 7 2 10 9
Pavarde362 Vardas362 6 3 6 1 4 7
Pavarde363 Vardas363 8 1 3 1 2 2
Pavarde364 Vardas364 2 1 10 7 8 9
Pavarde365 Vardas365 9 10 9 6 6 4
Pavarde366 Vardas366 2 7 6 9 5 2
Pavarde367 Vardas367 7 5 8 10 6 6
Pavarde368 Vardas368 2 7 1 6 3 9
Pavarde369 Vardas369 4 10 10 3 3 3
Pavarde370 Vardas370 1 9 10 9 9 8
Pavarde371 Vardas371 7 2 2 3 10 6
Pavarde372 Vardas372 10 9 5 9 10 7
Pavarde373 Vardas373 6 8 5 5 2 5
Pavarde374 Vardas374 6 6 3 7 9 4
Pavarde375 Vardas375 8 5 6 2 6 6
Pavarde376 Vardas376 10 1 1 7 6 2
Pavarde377 Vardas377 8 3 1 7 10 1
Pavarde378 Vardas378 9 8 2 1 3 6
Pavarde379 Vardas379 4 2 6 6 3 8
Pavarde380 Vardas380 6 1 9 1 3 6
Pavarde381 Vardas381 1 7 7 2 6 4
Pavarde382 Vardas382 3 9 5 2 5 8
Pavarde383 Vardas383 10 10 2 10 5 5
Pavarde384 Vardas384 5 7 6 7 8 6
Pavarde385 Vardas385 2 5 3 1 8 10
Pavarde386 Vardas386 5 10 8 9 1 7
Pavarde387 Vardas387 10 7 5 2 10 5
Pavarde388 Vardas388 5 2 10 5 10 7
Pavarde389 Vardas389 3 3 4 1 2 7
Pavarde390 Vardas390 4 9 5 3 8 1
Pavarde391 Vardas391 1 4 8 8 2 1
Pavarde392 Vardas392 8 5 9 10 7 9
Pavarde393 Vardas393 5 4 6 1 2 5
Pavarde394 Vardas394 2 9 6 3 3 2
Pavarde395 Vardas395 10 5 10 4 7 6
Pavarde396 Vardas396 9 1 8 9 4 6
Pavarde397 Vardas397 5 5 6 1 9 4
Pavarde398 Vardas398 10 1 6 9 2 5
Pavarde399 Vardas399 7 6 9 4 1 1
Pavarde400 Vardas400 6 9 7 2 7 2
Pavarde401 Vardas401 9 8 9 10 5 5
Pavarde402 Vardas402 1 5 10 5 9 10
Pavarde403 Vardas403 7 3 8 10 5 7
Pavarde404 Vardas404 6 7 1 3 1 2
Pavarde405 Vardas405 3 3 4 8 4 3
Pavarde406 Vardas406 7 7 7 6 10 1
Pavarde407 Vardas407 10 10 3 2 10 9
Pavarde408 Vardas408 1 5 2 8 4 1
Pavarde409 Vardas409 8 10 8 7 3 3
Pavarde410 Vardas410 10 3 7 5 2 3
Pavarde411 Vardas411 2 10 1 9 2 3
Pavarde412 Vardas412 9 3 2 4 8 5
Pavarde413 Vardas413 8 7 2 7 6 3
Pavarde414 Vardas414 2 2 7 9 2 8
Pavarde415 Vardas415 9 9 3 10 4 5
Pavarde416 Vardas416 4 8 7 6 8 9
Pavarde417 Vardas417 7 6 9 8 1 8
Pavarde418 Vardas418 6 4 2 6 2 8
Pavarde419 Vardas419 9 6 2 2 10 6
Pavarde420 Vardas420 4 2 7 3 10 10
Pavarde421 Vardas421 2 3 10 9 1 2
Pavarde422 Vardas422 2 2 5 7 5 3
Pavarde423 Vardas423 7 2 10 3 1 1
Pavarde424 Vardas424 6 1 10 7 3 8
Pavarde425 Vardas425 9 7 9 6 6 5
Pavarde426 Vardas426 8 1 6 7 6 5
Pavarde427 Vardas427 4 7 1 10 10 4
Pavarde428 Vardas428 10 5 10 9 10 8
Pavarde429 Vardas429 6 6 7 3 7 10
Pavarde430 Vardas430 10 3 4 10 1 7
Pavarde431 Vardas431 1 9 1 9 2 10
Pavarde432 Vardas432 2 8 6 3 1 7
Pavarde433 Vardas433 10 3 3 2 3 5
Pavarde434 Vardas434 4 4 10 2 7 10
Pavarde435 Vardas435 10 1 5 4 4 1
Pavarde436 Vardas436 8 7 8 8 8 8
Pavarde437 Vardas437 10 1 5 2 2 8
Pavarde438 Vardas438 7 10 7 6 3 7
Pavarde439 Vardas439 7 2 5 2 10 5
Pavarde440 Vardas440 3 3 1 5 5 8
Pavarde441 Vardas441 3 3 7 6 7 1
Pavarde442 Vardas442 4 4 6 4 4 2
Pavarde443 Vardas443 2 2 10 5 4 8
Pavarde444 Vardas444 1 8 7 7 10 7
Pavarde445 Vardas445 1 2 8 2 5 7
Pavarde446 Vardas446 2 6 8 2 6 7
Pavarde447 Vardas447 6 5 10 4 8 1
Pavarde448 Vardas448 1 4 6 3 8 9
Pavarde449 Vardas449 3 2 5 4 4 8
Pavarde450 Vardas450 5 3 4 2 9 10
Pavarde451 Vardas451 5 4 8 1 8 6
Pavarde452 Vardas452 8 10 3 7 7 6
Pavarde453 Vardas453 8 10 6 4 7 7
Pavarde454 Vardas454 4 2 4 5 1 6
Pavarde455 Vardas455 6 2 4 2 7 4
Pavarde456 Vardas456 8 3 5 8 3 9
Pavarde457 Vardas457 8 2 10 4 7 3
Pavarde458 Vardas458 5 2 8 1 5 8
Pavarde459 Vardas459 4 4 7 2 5 10
Pavarde460 Vardas460 1 1 1 7 8 7
Pavarde461 Vardas461 7 4 3 7 3 8
Pavarde462 Vardas462 4 9 2 10 3 1
Pavarde463 Vardas463 8 5 4 5 2 5
Pavarde464 Vardas464 10 5 6 5 1 8
Pavarde465 Vardas465 4 6 1 1 5 1
Pavarde466 Vardas466 8 5 8 1 2 7
Pavarde467 Vardas467 1 6 3 2 8 8
Pavarde468 Vardas468 4 9 10 3 7 2
Pavarde469 Vardas469 6 8 10 5 5 4
Pavarde470 Vardas470 2 8 4 10 6 5
Pavarde471 Vardas471 6 5 7 10 5 1
Pavarde472 Vardas472 7 3 7 10 6 10
Pavarde473 Vardas473 5 9 7 1 2 9
Pavarde474 Vardas474 2 9 8 1 7 7
Pavarde475 Vardas475 5 7 2 1 7 7
Pavarde476 Vardas476 3 5 2 4 5 9
Pavarde477 Vardas477 1 1 5 7 5 3
Pavarde478 Vardas478 8 1 3 5 9 2
Pavarde479 Vardas479 1 7 4 2 3 3
Pavarde480 Vardas480 7 5 10 5 2 3
Pavarde481 Vardas481 9 7 1 9 9 3
Pavarde482 Vardas482 1 3 4 5 1 9
Pavarde483 Vardas483 9 5 8 4 9 7
Pavarde484 Vardas484 9 10 5 9 10 4
Pavarde485 Vardas485 7 8 6 3 10 5
Pavarde486 Vardas486 8 9 7 2 1 5
Pavarde487 Vardas487 10 10 3 7 9 6
Pavarde488 Vardas488 9 10 4 8 10 4
Pavarde489 Vardas489 2 10 9 7 4 8
Pavarde490 Vardas490 2 7 2 6 4 5
Pavarde491 Vardas491 5 6 2 4 8 3
Pavarde492 Vardas492 3 1 10 1 4 2
Pavarde493 Vardas493 3 2 8 6 2 5
Pavarde494 Vardas494 5 7 3 9 1 5
Pavarde495 Vardas495 3 7 5 9 10 9
Pavarde496 Vardas496 5 6 2 9 2 8
Pavarde497 Vardas497 4 6 8 5 1 7
Pavarde498 Vardas498 1 10 1 6 8 2
Pavarde499 Vardas499 6 6 8 10 8 5
Pavarde500 Vardas500 4 6 4 9 2 6
Pavarde501 Vardas501 7 8 9 2 7 9
Pavarde502 Vardas502 2 1 7 4 1 7
Pavarde503 Vardas503 10 5 7 7 10 6
Pavarde504 Vardas504 2 8 2 8 10 9
Pavarde505 Vardas505 5 7 6 4 10 9
Pavarde506 Vardas506 9 10 1 2 6 2
Pavarde507 Vardas507 2 2 6 6 6 2
Pavarde508 Vardas508 10 3 2 3 6 3
Pavarde509 Vardas509 5 7 4 7 8 2
Pavarde510 Vardas510 1 3 1 5 4 5
Pavarde511 Vardas511 1 10 8 10 7 4
Pavarde512 Vardas512 10 3 10 5 3 8
Pavarde513 Vardas513 7 4 3 10 2 2
Pavarde514 Vardas514 2 10 2 6 6 5
Pavarde515 Vardas515 10 7 3 1 7 8
Pavarde516 Vardas516 6 1 7 1 10 10
Pavarde517 Vardas517 3 10 8 10 4 5
Pavarde518 Vardas518 2 4 5 8 1 4
Pavarde519 Vardas519 3 8 9 9 8 3
Pavarde520 Vardas520 1 4 4 8 4 7
Pavarde521 Vardas521 6 5 3 9 4 6
Pavarde522 Vardas522 5 3 6 5 3 2
Pavarde523 Vardas523 9 2 3 10 9 6
Pavarde524 Vardas524 3 7 7 7 2 6
Pavarde525 Vardas525 9 3 2 2 8 6
Pavarde526 Vardas526 2 6 7 5 5 6
Pavarde527 Vardas527 6 8 8 1 7 2
Pavarde528 Vardas528 7 1 3 7 4 10
Pavarde529 Vardas529 5 8 2 4 5 7
Pavarde530 Vardas530 10 6 4 6 5 3
Pavarde531 Vardas531 1 2 3 2 4 1
Pavarde532 Vardas532 5 4 6 2 7 9
Pavarde533 Vardas533 2 7 4 10 3 8
Pavarde534 Vardas534 4 1 2 8 7 3
Pavarde535 Vardas535 5 4 10 1 3 8
Pavarde536 Vardas536 1 6 8 4 5 9
Pavarde537 Vardas537 8 10 7 3 4 6
Pavarde538 Vardas538 5 5 6 3 2 7
Pavarde539 Vardas539 3 8 5 8 10 10
Pavarde540 Vardas540 1 9 8 10 3 5
Pavarde541 Vardas541 8 5 7 4 6 3
Pavarde542 Vardas542 8 10 5 9 1 7
Pavarde543 Vardas543 3 8 7 8 3 10
Pavarde544 Vardas544 6 4 2 9 1 10
Pavarde545 Vardas545 2 3 8 8 8 3
Pavarde546 Vardas546 7 5 9 1 1 10
Pavarde547 Vardas547 9 7 10 8 6 6
Pavarde548 Vardas548 3 6 4 2 7 10
Pavarde549 Vardas549 5 9 7 4 3 2
Pavarde550 Vardas550 9 9 4 1 9 5
Pavarde551 Vardas551 10 5 3 1 7 3
Pavarde552 Vardas552 9 4 6 6 2 10
Pavarde553 Vardas553 10 2 5 5 2 8
Pavarde554 Vardas554 8 1 9 1 4 3
Pavarde555 Vardas555 10 4 3 6 6 7
Pavarde556 Vardas556 6 7 8 10 10 4
Pavarde557 Vardas557 10 2 1 5 1 3
